"admingroup","管理组"
"credit_index_criteria","信用指数标准："
"system_built","系统内置"
"third_party_organization_and_code","第三方机构及代码"
"available_parameters","可用参数：%companyname%表示公司名称；%username%表示用户名；%userid%表示用户编号"
"the_user_must_already_exist","该用户必须已经存在"
"expired_that_can_not_log_back","过期后，即不能登录后台"
"menu_display","菜单显示"
"designated_authority","指定权限"
"the_super_administrator_has_all_privileges","无论如何指定，超级管理员均有所有权限"
"display_objects","展示对象"
"does_not_appear_in_its_advertising_space_and_advertising","如果非选中项，则在其空间内不会显示广告位及广告，排除的标签参数为：groupid"
"pattern","样式"
"flash_image_rotation","flash图片轮换"
"code","代码"
"site_built","站内"
"site_external","站外"
"last_backup_time","上次备份时间："
"submit_and_tips","是否确认提交？提交后将覆盖现有语言文件"
"backup_type","备份类型："
"backup_file_type","文件类型："
"multi_volume","分卷"
"single_volume","不分卷"
"all_site_data_backup","备份网站全部数据"
"notes","注意事项"
"backup_now","立即备份"
"on_backup_ing","备份中..."
"link_address","链接地址"
"data_has_been_copied_to_the_clipboard","数据已经复制到剪贴板"
"clear_now","立即清理"
"please_wait","请稍候..."
"album_category","相册分类"
"album","相册"
"title_display","显示的标题"
"applicable_membership_type","适用会员类型："
"membership_type","会员类型"
"applicable_member_group","适用会员组："
"default_setting","默认设置"
"remove","清除"
"empty","清空"
"executive","执行"
"please_paste_in_the_right_side_of_the_sql_statement","请将SQL语句粘贴在右侧："
"upload_and_restore_database","请将文件上传到备份目录<strong>/data/backup_%s</strong>进行还原。"
"file_name","文件名"
"backup_time","备份时间"
"file_size","文件大小"
"file","文件"
"this_action_can_not_be_restored","还原文件%s
本操作不可恢复，确认继续吗"
"top_categories","顶级分类"
"parent_categories","上级分类"
"title_keyword","名称关键字："
"is_empty_or_zero_never_expires","为空或0表示永不过期"
"add_more_than_one_line_on_behalf_of_a_record","可以添加多个，一行代表一条记录"
"top_category_name_not_support_special_sign","一级分类名称不要有符号出现"
"category_name","分类名称"
"add_method","添加方式："
"add_one_by_one","逐个添加"
"copy_from_the_industry_classification","从行业分类复制"
"enterprise_direct_keyword","企业直达关键字"
"must_setting_first","如：www.phpb2b.com，必须先做好相关<a href='setting.php?do=functions'>设置</a>及解析"
"image_format_support","（支持格式GIF,JPG,JPEG,PNG）"
"optimization_of_the_name","优化名称"
"if_choose_not_disorders_may_lead_to","如果选择不覆盖，那么可能会引起分类紊乱"
"overcast","覆盖"
"file_checksum","文件校验"
"check_that_the_file","文件校验是针对%s官方发布的文件为基础进行核对，点击下面按钮开始进行校验。"
"start_check","开始校验"
"last_modified","最后修改时间"
"pushed_to_the_news","推送到行业资讯"
"digest","摘要"
"currently_supports_two_categories","目前支持二级分类"
"bold","加粗"
"italic","斜体"
"underline","下划线"
"automatically_generated","自动生成"
"grade","级别"
"system_tools","系统工具"
"position_classification","职位分类"
"job","职位"
"invalid","无效"
"effective","有效"
"the_industry","所在行业"
"the_city","所在城市"
"date_and_time","日期和时间"
"if_you_changed","如果你修改了某个类型的编号，可能会引起已有供求数据的错误。"
"send","发送"
"collection","采集"
"permissions","权限"
"per_day","每天最多"
"search_station_outside","站外搜索"
"pay_method","支付方式"
"revert","回复"
"switch_the_shelf","上/下架"
"support","支持"
"online_payment","在线支付"
"logs","日志"
"business_information","业务往来信息"
"custom_membership_groups","会员组分系统会员组、自定义会员组以及特殊会员组。"
"system","系统"
"customize","自定义"
"special","特殊"
"integral_between","积分介于"
"automatically_selected_when_registration","默认会员组会在用户注册的时候自动选择。"
"send_time","发送时间"
"send_to","发送给"
"fill_the_other_account","请填写对方的帐号"
"only_need_relative_url","站内链接只需相对地址即可"
