"action_successfully","操作成功"
"success","操作成功"
"thanks_for_advise","感谢您的参与"
"action_failed","操作失败"
"visitor_forbid","禁止游客发布信息"
user_feedback,用户评论,
companyname_has_exists,%s已经存在,
undefined_operation,未定义操作,
aborted_clients,中止,
access_denied,访问被拒绝,
file_write_error,文件写入失败,
token_error,校验码有误,
file_open_error,文件打开出错,
action_complete,操作完成,
record_not_exists,你要查询的数据不存在,
company_checking,企业信息正在审核中,
congratulate,"恭喜,操作成功",
file_not_exists,文件<i>%s</i>不存在,
sys_error,系统错误,
no_perm,您没有足够的权限,
invalid_capt,"<center>抱歉，验证码输入有误，请<a href='javascript:history.go(-1)'>返回</a>并重新输入。</center>",
pls_reset_passwd,请及时修改您的密码,
email_sended_success,邮件发送成功,
email_sended_false,邮件发送失败,
wait_for_check,提交成功，请等待审核,
under_checking,%s正在审核中,
order_submited,订单提交成功，我们会尽快联系您,
db_conn_error,数据库链接出错：%s,
db_conn_error_no,错误编号：%s,
function_disable,该功能暂不能使用,
charge_check,充值金额必须为数字,
login_faild,登陆失败,
login_pwd_wrong,登陆密码错误,
member_checking,用户审核中,
login_failed,登陆失败，请重新<a href='logging.php'>登陆</a>,
please_input_username,请输入用户名,
please_input_right_username,请输入正确的用户名,
please_input_password,请输入密码,
please_input_email,请输入正确的Email,
member_not_exists,用户不存在,
member_has_exists,用户名已经存在,
login_pwd_false,登录密码错误,
please_login_first,请先<a href='logging.php'>登录</a>,
wrong_validate,验证码输入有误,
invite_code_error,邀请码有误,
actived_and_login,激活成功，请您继续<a href='logging.php'>登陆</a>。,
reset_and_login,密码设置成功，请您继续<a href='logging.php'>登陆</a>。,
register_closed,网站关闭了注册,
invalid_username,用户名不合法,
not_allowed_forbid_words,包含有允许注册的词语,
email_exists,Email地址已经存在,
not_enough_points,查看该信息需要%d积分，您的积分不够,
please_input_companyname,请输入正确的公司名称,
please_input_companydesc,请输入必要的公司介绍,
please_reinstall_program,请重新安装程序包,
save_failed,数据保存失败,
data_not_exists,该信息不存在,
system_error,系统错误,
