"get_passwd_subject","Retrieve Password Help"
"thx_for_your_reg","Thank you for registering %s "
"after_update_please","update password, you in a timely manner to the "
"office_room_update_passwd","Commercial Office to update your password, to prevent loss. "
"dear_user","Dear Customer"
"a_test_email","This is a test message from %s. "
"a_test_email_delete","This is a letter from <a href='%s' target='_blank'>%s</a> the test message, you can remove it. "
"pls_active_your_account","Please activate your account <a href='%s' style='text-decoration: underline;'>Resend</a>"
"pls_click_the_link_to_active","Please click the link below, to account activation. "
"click_here","Click Here "
"active_and_expired","to activate your account, valid until:"
"the_website_email_sended","The message is <a href='%s'>%s</a> sent to you. "
"thank_for_your_register",", Hello, Thank you for registering %s"
"you_have_been_the_member",", you have already registered as a member of %s, if you have any questions can contact customer service Email: <a href='mailto:%s'>%s</a>. "
"pls_read_the_service_statement","Please read the terms of customer service. "
"start_to_active_and_expired","begin to reset, valid until:"
"pls_reset_passwd","reset password "
"pls_click_the_link_to_reset","Please click the link below, for password reset. "
